,TTPs
30,"'T1083', 'T1573.001', 'T1102', 'T1071.001', 'T1588.002', 'T1027', 'T1518', 'T1005', 'T1204.002', 'T1082', 'T1218.010', 'T1218.005', 'T1566.001', 'T1090.003', 'T1555.003', 'T1221', 'T1057', 'T1059.005', 'T1069.002', 'T1203', 'T1547.001', 'T1059.001'"
31,"'T1071.004', 'T1518.001', 'T1027', 'T1059.007', 'T1218.008', 'T1220', 'T1059.005', 'T1548.002', 'T1566.002', 'T1573.002', 'T1547.001', 'T1566.001', 'T1219', 'T1068', 'T1055', 'T1203', 'T1195.002', 'T1071.001', 'T1070.004', 'T1021.001', 'T1543.003', 'T1559.002', 'T1059.001', 'T1037.001', 'T1059.003', 'T1046', 'T1218.010', 'T1572', 'T1218.003', 'T1204.001', 'T1588.002', 'T1053.005', 'T1204.002', 'T1105'"
32,"'T1059.003', 'T1133', 'T1547.001', 'T1027', 'T1070.004', 'T1053.002', 'T1078', 'T1082', 'T1083', 'T1071.004', 'T1043', 'T1105', 'T1071.001'"
33,"'T1203', 'T1102.002', 'T1204.002', 'T1568.003', 'T1566.001'"
34,"'T1071.001', 'T1219', 'T1555', 'T1562.001', 'T1003.005', 'T1027.004', 'T1036.005', 'T1090.002', 'T1566.002', 'T1041', 'T1204.002', 'T1049', 'T1218.003', 'T1559.001', 'T1555.003', 'T1547.001', 'T1548.002', 'T1552.001', 'T1083', 'T1102.002', 'T1057', 'T1082', 'T1583.006', 'T1053.005', 'T1003.004', 'T1589.002', 'T1140', 'T1003.001', 'T1559.002', 'T1059.001', 'T1104', 'T1137.001', 'T1059.006', 'T1113', 'T1204.001', 'T1218.011', 'T1027', 'T1059.003', 'T1203', 'T1588.002', 'T1033', 'T1059.005', 'T1016', 'T1566.001', 'T1059.007', 'T1518', 'T1087.002', 'T1132.001', 'T1518.001', 'T1105', 'T1560.001', 'T1047', 'T1027.003', 'T1218.005'"
35,"'T1204.001', 'T1003.002', 'T1219', 'T1550.002', 'T1074.002', 'T1027', 'T1566.002', 'T1562.001', 'T1587.001', 'T1027.002', 'T1190', 'T1043', 'T1133', 'T1071.001', 'T1588.002', 'T1078'"
36,"'T1071.001', 'T1547.001', 'T1027', 'T1566.003', 'T1059.003', 'T1204.002', 'T1218.001', 'T1005', 'T1083', 'T1027.002', 'T1189', 'T1113'"
37,"'T1203', 'T1566.002', 'T1027', 'T1105', 'T1566.001', 'T1204.001', 'T1027.002', 'T1204.002', 'T1189'"
38,"'T1564.001', 'T1203', 'T1204.002', 'T1027', 'T1036.005', 'T1566.001', 'T1568', 'T1059.005', 'T1584.001', 'T1566.002', 'T1608.004', 'T1189', 'T1583.001', 'T1204.001'"
39,"'T1555', 'T1053.005', 'T1057', 'T1059', 'T1041', 'T1555.003', 'T1033', 'T1016', 'T1555.004', 'T1573.001', 'T1047', 'T1012', 'T1059.001', 'T1082', 'T1071.001', 'T1005'"
40,"'T1043', 'T1566.001', 'T1059.001', 'T1588.002', 'T1059', 'T1140', 'T1027', 'T1071.001', 'T1033', 'T1574.002', 'T1564.003', 'T1112', 'T1082', 'T1132.001', 'T1547.001', 'T1189', 'T1016', 'T1218.011', 'T1218.010', 'T1543.003', 'T1204.002'"
