,TTPs
469,"'T1543.003', 'T1561.001', 'T1489', 'T1569.002', 'T1070', 'T1134', 'T1027', 'T1485', 'T1059.003', 'T1497.003', 'T1053.005', 'T1553.002', 'T1140', 'T1562.006', 'T1112', 'T1036.005', 'T1106', 'T1529', 'T1082', 'T1070.004', 'T1083', 'T1561.002', 'T1070.001', 'T1490', 'T1484.001'"
470,"'T1027.003', 'T1059.003', 'T1055', 'T1105', 'T1071.001', 'T1518.001', 'T1140'"
471,"'T1070.004', 'T1112', 'T1046', 'T1489', 'T1059.001', 'T1016', 'T1552.001', 'T1110', 'T1059.006', 'T1021.001', 'T1562.001', 'T1486', 'T1490', 'T1569.002', 'T1036.005', 'T1003.001'"
472,'T1072'
473,"'T1027', 'T1057', 'T1071.001', 'T1140', 'T1082', 'T1547.001'"
474,"'T1124', 'T1119', 'T1074.002', 'T1048.003', 'T1053.005', 'T1564.001', 'T1005', 'T1083', 'T1074.001', 'T1059.003', 'T1070.004', 'T1560.001'"
475,"'T1083', 'T1065', 'T1074.001', 'T1094', 'T1037.001', 'T1071.001', 'T1041', 'T1059.003', 'T1027.002', 'T1135', 'T1047', 'T1555.003', 'T1082', 'T1560', 'T1053.005', 'T1547.001', 'T1056.004', 'T1071.003', 'T1140', 'T1105', 'T1132.001', 'T1573.002', 'T1124', 'T1033', 'T1119', 'T1049', 'T1070.004', 'T1120', 'T1113', 'T1016', 'T1012', 'T1057'"
476,"'T1573.001', 'T1068', 'T1543.003', 'T1105', 'T1569.002', 'T1027', 'T1057', 'T1071.001', 'T1574.002', 'T1553.006', 'T1112', 'T1055', 'T1205'"
477,"'T1083', 'T1574.002', 'T1082', 'T1027.001', 'T1113', 'T1518.001', 'T1027', 'T1055.001', 'T1012', 'T1027.002', 'T1140', 'T1548.002', 'T1547.001', 'T1543.003', 'T1134.001', 'T1542.003', 'T1574.013', 'T1574.001', 'T1036.005', 'T1057', 'T1497.001', 'T1056.004', 'T1070.001'"
478,"'T1070.004', 'T1027', 'T1049', 'T1071.001', 'T1203', 'T1105', 'T1053.003', 'T1033', 'T1132.001', 'T1016', 'T1110.001', 'T1082', 'T1059', 'T1059.006', 'T1046'"
479,"'T1113', 'T1083', 'T1543.001', 'T1547.001'"
480,"'T1070.006', 'T1560.003', 'T1036.005', 'T1505.004', 'T1505.003', 'T1071.001', 'T1056.001', 'T1083'"
481,"'T1113', 'T1010', 'T1082', 'T1115', 'T1560', 'T1056.001', 'T1120', 'T1123'"
482,"'T1071.001', 'T1573.002', 'T1059.005', 'T1026', 'T1218.011', 'T1049', 'T1003.002', 'T1548.002', 'T1078.003', 'T1135', 'T1029', 'T1620', 'T1030', 'T1070.006', 'T1027', 'T1095', 'T1112', 'T1018', 'T1106', 'T1134.001', 'T1548.003', 'T1137.001', 'T1047', 'T1083', 'T1090.001', 'T1518', 'T1021.004', 'T1069.002', 'T1078.002', 'T1055.012', 'T1132.001', 'T1059.001', 'T1055.001', 'T1005', 'T1562.001', 'T1046', 'T1059.007', 'T1087.002', 'T1203', 'T1543.003', 'T1055', 'T1197', 'T1057', 'T1569.002', 'T1071.004', 'T1572', 'T1027.005', 'T1069.001', 'T1021.002', 'T1105', 'T1185', 'T1007', 'T1090.004', 'T1021.003', 'T1056.001', 'T1553.002', 'T1012', 'T1564.010', 'T1134.004', 'T1003.001', 'T1059.006', 'T1134.003', 'T1001.003', 'T1021.001', 'T1021.006', 'T1071', 'T1016', 'T1068', 'T1113', 'T1059.003', 'T1550.002', 'T1140', 'T1573.001'"
483,"'T1036.005', 'T1027.005', 'T1071.004', 'T1027', 'T1132.001', 'T1057', 'T1007', 'T1012', 'T1001.001', 'T1070.004', 'T1070.009', 'T1082', 'T1546.012', 'T1218.011', 'T1105', 'T1553.002', 'T1016', 'T1083', 'T1497.003', 'T1001.003', 'T1497.001', 'T1059.005', 'T1568', 'T1005', 'T1047', 'T1562.001', 'T1071.001', 'T1573.001', 'T1033', 'T1518.001', 'T1070', 'T1112', 'T1001.002', 'T1070.007'"
484,"'T1497.001', 'T1071.001', 'T1547.001', 'T1124', 'T1070.004', 'T1497.003', 'T1105', 'T1059.003', 'T1047', 'T1203', 'T1053.005', 'T1057', 'T1518.001', 'T1106'"
485,"'T1070.004', 'T1547.008', 'T1569.002', 'T1543.003', 'T1518.001', 'T1082', 'T1574.002', 'T1055', 'T1068'"
486,"'T1056.001', 'T1132.001', 'T1113', 'T1071.004', 'T1059.003', 'T1547.001', 'T1125', 'T1123'"
487,"'T1573.001', 'T1057', 'T1105', 'T1083', 'T1113', 'T1027', 'T1007', 'T1027.002', 'T1564.003', 'T1082', 'T1041', 'T1010', 'T1070.004', 'T1053.005', 'T1033', 'T1489', 'T1106', 'T1518', 'T1059.003', 'T1016'"
488,"'T1573.002', 'T1547.001', 'T1053.005', 'T1105', 'T1136.001', 'T1033', 'T1082', 'T1070.004', 'T1218.011', 'T1021.001', 'T1071.001', 'T1059.001', 'T1059.003'"
489,"'T1547.001', 'T1059.003', 'T1059.005', 'T1486', 'T1204.002', 'T1059.001', 'T1490'"
490,"'T1056.001', 'T1091', 'T1082', 'T1562.001', 'T1555.003', 'T1105', 'T1033', 'T1016'"
491,"'T1036.005', 'T1071.001', 'T1106', 'T1112', 'T1083', 'T1041', 'T1573.002', 'T1059.005', 'T1047', 'T1485', 'T1134.002', 'T1059.003', 'T1134.001', 'T1189', 'T1012', 'T1140', 'T1490', 'T1059.001', 'T1055', 'T1082', 'T1562.001', 'T1562.009', 'T1069.002', 'T1489', 'T1204.002', 'T1614.001', 'T1566.001', 'T1007', 'T1105', 'T1486', 'T1070.004', 'T1027'"
492,"'T1071.001', 'T1573.001'"
493,"'T1518.001', 'T1087.001', 'T1218.010', 'T1555.004', 'T1104', 'T1113', 'T1132.001', 'T1112', 'T1119', 'T1047', 'T1027.002', 'T1071.001', 'T1114.002', 'T1204.002', 'T1082', 'T1041', 'T1564.004', 'T1087.002', 'T1027', 'T1059.001', 'T1566.002', 'T1016', 'T1105', 'T1012', 'T1008', 'T1566.001', 'T1053.005', 'T1552.002', 'T1059.007', 'T1140', 'T1033', 'T1559.002', 'T1057'"
494,"'T1071.001', 'T1555.003', 'T1083', 'T1003', 'T1555', 'T1005', 'T1082'"
495,"'T1074.001', 'T1053.005', 'T1572', 'T1087.001', 'T1059.003', 'T1016', 'T1033', 'T1071.004', 'T1036', 'T1105', 'T1106', 'T1082', 'T1036.007', 'T1070.004', 'T1005', 'T1012', 'T1568.002', 'T1071.001', 'T1027', 'T1559.001'"
496,"'T1074.001', 'T1547.001', 'T1119', 'T1020', 'T1120', 'T1070.004', 'T1091', 'T1070.006', 'T1083', 'T1025', 'T1092', 'T1027', 'T1036.005', 'T1052.001'"
497,"'T1105', 'T1070.004', 'T1564.001', 'T1059.005', 'T1543.004', 'T1027', 'T1082', 'T1560.003', 'T1036.004', 'T1543.001', 'T1222.002', 'T1016', 'T1497.001', 'T1553.001', 'T1059.001', 'T1070.006', 'T1005', 'T1027.002', 'T1059.004', 'T1071.001'"
498,"'T1195.002', 'T1568.002'"
499,"'T1102.003', 'T1140', 'T1071.001', 'T1499', 'T1003'"
500,"'T1204.002', 'T1083', 'T1071.001', 'T1016', 'T1027', 'T1124', 'T1057', 'T1573.001', 'T1105', 'T1095', 'T1005', 'T1055.001', 'T1012', 'T1566.001', 'T1070.004', 'T1059.003', 'T1112', 'T1140', 'T1106', 'T1547.001'"
501,"'T1547.009', 'T1547.001', 'T1091'"
502,"'T1546.010', 'T1070.004', 'T1048.003'"
503,"'T1036.005', 'T1027', 'T1203', 'T1071.001', 'T1505.003'"
504,'T1001.001'
505,"'T1105', 'T1070.004', 'T1083', 'T1113', 'T1021', 'T1564.003', 'T1056.001'"
506,"'T1222.001', 'T1561.002', 'T1485', 'T1106', 'T1057', 'T1083', 'T1082'"
507,"'T1542.002', 'T1083', 'T1573.002', 'T1105', 'T1559', 'T1005', 'T1037.004', 'T1036.005', 'T1090.003', 'T1132.002', 'T1082', 'T1057', 'T1070.006', 'T1016', 'T1106', 'T1572', 'T1140', 'T1571', 'T1562.004', 'T1041', 'T1071.001'"
508,"'T1547.001', 'T1010', 'T1027', 'T1074.001', 'T1055.001', 'T1065', 'T1005', 'T1056.001', 'T1105', 'T1547.014', 'T1543.003', 'T1573.001', 'T1014', 'T1059.003', 'T1112'"
509,"'T1036.004', 'T1071.001', 'T1083', 'T1057', 'T1547.001', 'T1094', 'T1070.004', 'T1059.003', 'T1027', 'T1543.003', 'T1105'"
510,"'T1036', 'T1218.011', 'T1204.002', 'T1497.001', 'T1480', 'T1140'"
511,"'T1562.001', 'T1573.001', 'T1027', 'T1059.003', 'T1125', 'T1059.005', 'T1105', 'T1123', 'T1562.004', 'T1547.001', 'T1016', 'T1056.001', 'T1112', 'T1065'"
512,"'T1539', 'T1020', 'T1057', 'T1016', 'T1518.001', 'T1056.001', 'T1027', 'T1129', 'T1112', 'T1005', 'T1041', 'T1082', 'T1518', 'T1113', 'T1115', 'T1120', 'T1119', 'T1083', 'T1055.001', 'T1560.002', 'T1125', 'T1124', 'T1123', 'T1025'"
513,"'T1204.002', 'T1083', 'T1070.004', 'T1555.003', 'T1010', 'T1555', 'T1106', 'T1001.001', 'T1071.001', 'T1090', 'T1057', 'T1573.001', 'T1059.003', 'T1105', 'T1204.001'"
514,"'T1056.001', 'T1036.005', 'T1027.005', 'T1059.003', 'T1003.001', 'T1573.001', 'T1560', 'T1560.001', 'T1071.001', 'T1001.002', 'T1105', 'T1553.002', 'T1132.001', 'T1027', 'T1113', 'T1027.002'"
515,"'T1016.001', 'T1119', 'T1071.001'"
516,"'T1543.003', 'T1573.002', 'T1055.001', 'T1016', 'T1048.003', 'T1071.001', 'T1049', 'T1069', 'T1018', 'T1074.001', 'T1124', 'T1027', 'T1140', 'T1053.005', 'T1102', 'T1057', 'T1012', 'T1095'"
517,"'T1564.004', 'T1014', 'T1019', 'T1547.001', 'T1542.001', 'T1112'"
518,"'T1059.003', 'T1027', 'T1071.001', 'T1112', 'T1057', 'T1113', 'T1140', 'T1204.002', 'T1012', 'T1083', 'T1560.002', 'T1056.001', 'T1055', 'T1105', 'T1008', 'T1082', 'T1027.004', 'T1033', 'T1547.001', 'T1090', 'T1573.001', 'T1070.004'"
519,"'T1053.005', 'T1021.005', 'T1070.004', 'T1140', 'T1027', 'T1059.005', 'T1059.003', 'T1071.004', 'T1566.001', 'T1036.005', 'T1005', 'T1204.002', 'T1105', 'T1071.001'"
520,"'T1113', 'T1082', 'T1059.003', 'T1094', 'T1057', 'T1105', 'T1008', 'T1033', 'T1573.002', 'T1056.001'"
521,"'T1070.004', 'T1005', 'T1555.001', 'T1217', 'T1098', 'T1074.001', 'T1560.001', 'T1564.001', 'T1056.002', 'T1105', 'T1136.001', 'T1569.001', 'T1036.005', 'T1016', 'T1543.001'"
522,"'T1027', 'T1105', 'T1071.004', 'T1132.001', 'T1059.003', 'T1016', 'T1082', 'T1083', 'T1547.001'"
523,"'T1059.003', 'T1083', 'T1543.003', 'T1571', 'T1070.004', 'T1041', 'T1036.005', 'T1027', 'T1136.001', 'T1082', 'T1106', 'T1497.003', 'T1195.002', 'T1105', 'T1071.001'"
524,"'T1105', 'T1518.001', 'T1071.001', 'T1074.001', 'T1059.003', 'T1560', 'T1562.001', 'T1547.001', 'T1083', 'T1070.004', 'T1082', 'T1012', 'T1033', 'T1057'"
525,"'T1071.001', 'T1505.004', 'T1059.003', 'T1105', 'T1560.003', 'T1033', 'T1140'"
526,"'T1574.001', 'T1120', 'T1053.005', 'T1566.001', 'T1559.002', 'T1046', 'T1204.002', 'T1560.003', 'T1036.005', 'T1071.001', 'T1016', 'T1560.001', 'T1140', 'T1132.001', 'T1039', 'T1059.005', 'T1546.010', 'T1025', 'T1106', 'T1083', 'T1027.003', 'T1119', 'T1548.002', 'T1082', 'T1049', 'T1559.001', 'T1055.001', 'T1547.001', 'T1036', 'T1203', 'T1080', 'T1027', 'T1014', 'T1135', 'T1057', 'T1091', 'T1005', 'T1113', 'T1074.001'"
527,"'T1001.003', 'T1056.001', 'T1573.001', 'T1095'"
528,"'T1055.001', 'T1071.001', 'T1055.004', 'T1555', 'T1082', 'T1021.005', 'T1068', 'T1041', 'T1518.001', 'T1542.003', 'T1497', 'T1056.004', 'T1027', 'T1036.005', 'T1057', 'T1012', 'T1547.001', 'T1562.001', 'T1014', 'T1113', 'T1564.001', 'T1185', 'T1555.003', 'T1105', 'T1106'"
529,"'T1571', 'T1059.003', 'T1001.003', 'T1562.004', 'T1090'"
530,"'T1012', 'T1112', 'T1546.011', 'T1070.004', 'T1055.004', 'T1027', 'T1070.009', 'T1106', 'T1005', 'T1560', 'T1057', 'T1140', 'T1059.001'"
531,"'T1001', 'T1036', 'T1071.001', 'T1001.001', 'T1546.003'"
532,"'T1082', 'T1059.003', 'T1065', 'T1102.002', 'T1003', 'T1056.001', 'T1053.005', 'T1105', 'T1033', 'T1123', 'T1218.005', 'T1113', 'T1016', 'T1021.001', 'T1547.001', 'T1202', 'T1125', 'T1132.001', 'T1059.001'"
533,"'T1070.004', 'T1543.001', 'T1140', 'T1074.001', 'T1033', 'T1059.004', 'T1113', 'T1571', 'T1070.006', 'T1106', 'T1573', 'T1016', 'T1082', 'T1021', 'T1041', 'T1555.001', 'T1553.001', 'T1005', 'T1123', 'T1057', 'T1095', 'T1070.002', 'T1056.001', 'T1105', 'T1083'"
534,"'T1056.001', 'T1001', 'T1018', 'T1106', 'T1027', 'T1090', 'T1010', 'T1083', 'T1055.001', 'T1057', 'T1016', 'T1012', 'T1070.004', 'T1572', 'T1559.001', 'T1082', 'T1041', 'T1036.004', 'T1070', 'T1005', 'T1560.002', 'T1105', 'T1095', 'T1074.001', 'T1547.001', 'T1543.003', 'T1033', 'T1113', 'T1047', 'T1025', 'T1218.011', 'T1560.003', 'T1059.003', 'T1119', 'T1124', 'T1120', 'T1518.001'"
535,"'T1083', 'T1195.002', 'T1565.001', 'T1057', 'T1134', 'T1106', 'T1036.005', 'T1140', 'T1027', 'T1070.004', 'T1480'"
536,"'T1105', 'T1016', 'T1573.001', 'T1553.002', 'T1027', 'T1132.001', 'T1071.001', 'T1059.003', 'T1140', 'T1218.010', 'T1016.001', 'T1070.004', 'T1518.001', 'T1082', 'T1033'"
537,"'T1047', 'T1547.001', 'T1113', 'T1543.003', 'T1027', 'T1083', 'T1112', 'T1082', 'T1569.002', 'T1574.002', 'T1105', 'T1027.002', 'T1140', 'T1564.001', 'T1070.004'"
538,"'T1562.001', 'T1543.003', 'T1547.009', 'T1115', 'T1113', 'T1059.003', 'T1547.001', 'T1056.001'"
539,"'T1005', 'T1041', 'T1105', 'T1070.004', 'T1566.002', 'T1204.002', 'T1059.003', 'T1057', 'T1083', 'T1204.001', 'T1119', 'T1566.001', 'T1071.001', 'T1020'"
540,"'T1564.001', 'T1071.001', 'T1553.002', 'T1105', 'T1059.003', 'T1059.005', 'T1053.005', 'T1137.001', 'T1082', 'T1070.004', 'T1106', 'T1140', 'T1204.001', 'T1036.005', 'T1083', 'T1027'"
541,"'T1036.005', 'T1071.001', 'T1059.001', 'T1132.002', 'T1140', 'T1036', 'T1574.002', 'T1573'"
542,"'T1057', 'T1027', 'T1135', 'T1036.004', 'T1083', 'T1082', 'T1201', 'T1008', 'T1218.011', 'T1021.002', 'T1140', 'T1016', 'T1087.001', 'T1018', 'T1069.001', 'T1069.002', 'T1033', 'T1027.001', 'T1049', 'T1543.003', 'T1007', 'T1105'"
543,"'T1112', 'T1543.003', 'T1553.002', 'T1105'"
544,"'T1033', 'T1036', 'T1105', 'T1087.002', 'T1567.002', 'T1140', 'T1547.001', 'T1204.002', 'T1071.001', 'T1027', 'T1218.011', 'T1083', 'T1082', 'T1480', 'T1087.003', 'T1102'"
545,"'T1074.001', 'T1005', 'T1027'"
546,"'T1113', 'T1056.001', 'T1021.005', 'T1070.004', 'T1140', 'T1056.002', 'T1548.003', 'T1560', 'T1562.001', 'T1070.002', 'T1555.001', 'T1543.001', 'T1555.005', 'T1059.004', 'T1555.003'"
547,"'T1019', 'T1542.001'"
548,"'T1070.004', 'T1543.003', 'T1106', 'T1082', 'T1036.004', 'T1083', 'T1547.001', 'T1036.005', 'T1065', 'T1027', 'T1059.003'"
549,"'T1554', 'T1090', 'T1016', 'T1048.003', 'T1560', 'T1140', 'T1030', 'T1041', 'T1556', 'T1105', 'T1082', 'T1027', 'T1132.001', 'T1059'"
550,"'T1059.003', 'T1082', 'T1105', 'T1106', 'T1573.002', 'T1070.009', 'T1053.005', 'T1573.001', 'T1001.001', 'T1027', 'T1071.001', 'T1614', 'T1033', 'T1132.001', 'T1497.003', 'T1547.001', 'T1027.001', 'T1070.004', 'T1005', 'T1614.001', 'T1041', 'T1083', 'T1016', 'T1140'"
551,"'T1547.001', 'T1036.005', 'T1113', 'T1070.004', 'T1007', 'T1140', 'T1059.003', 'T1095', 'T1057', 'T1071.001', 'T1573.001', 'T1574.002', 'T1489', 'T1529', 'T1059.005', 'T1083'"
552,"'T1489', 'T1553.002', 'T1614.001', 'T1486', 'T1106', 'T1497.003', 'T1218.007', 'T1027.002', 'T1135', 'T1490', 'T1562.001', 'T1518.001', 'T1140', 'T1059.003', 'T1112', 'T1057', 'T1083'"
553,"'T1010', 'T1056.001'"
554,"'T1071.001', 'T1082', 'T1140', 'T1105', 'T1518.001', 'T1027'"
555,"'T1105', 'T1548.002', 'T1027.002', 'T1016', 'T1566.001', 'T1033', 'T1027', 'T1083', 'T1564.001', 'T1053', 'T1070.004', 'T1620', 'T1055.012', 'T1555.003', 'T1140', 'T1056.001', 'T1041', 'T1204.002', 'T1071.001', 'T1059.005', 'T1059.001', 'T1497.003', 'T1053.005', 'T1555', 'T1059.003', 'T1112', 'T1082', 'T1106'"
556,"'T1105', 'T1573.001', 'T1059.004', 'T1041'"
557,'T1542.003'
558,"'T1071.001', 'T1102.002', 'T1105'"
559,"'T1082', 'T1197', 'T1036.004', 'T1106', 'T1033', 'T1497.003', 'T1071.001', 'T1218.010', 'T1562.001', 'T1049', 'T1039', 'T1219', 'T1140', 'T1055', 'T1486', 'T1484.001', 'T1105', 'T1218.011', 'T1059.001', 'T1069.002', 'T1124', 'T1027.002', 'T1059.003', 'T1574.002', 'T1497'"
560,"'T1105', 'T1057', 'T1048.003', 'T1140', 'T1566.001', 'T1560.001', 'T1555.003', 'T1003.001', 'T1497.001', 'T1070.004', 'T1071.001', 'T1056.001', 'T1082', 'T1018', 'T1027', 'T1559.002', 'T1041', 'T1571', 'T1564.001', 'T1048', 'T1083', 'T1125', 'T1059.005', 'T1112', 'T1547.001', 'T1113', 'T1059', 'T1059.006', 'T1573.002', 'T1204.002', 'T1119', 'T1033', 'T1071.002', 'T1059.003'"
561,"'T1105', 'T1573.002', 'T1071.001', 'T1568.002', 'T1112', 'T1008', 'T1518.001', 'T1497', 'T1083', 'T1091', 'T1573.001', 'T1056.001', 'T1090.001', 'T1012', 'T1059', 'T1092', 'T1071.003', 'T1113'"
562,"'T1105', 'T1047', 'T1033', 'T1082', 'T1071.001', 'T1059.003', 'T1070.004', 'T1547.001', 'T1112', 'T1124', 'T1560', 'T1057', 'T1547.009', 'T1027', 'T1016', 'T1518.001', 'T1012', 'T1218.011'"
563,"'T1106', 'T1057', 'T1562.001', 'T1071.002', 'T1499', 'T1105', 'T1082', 'T1090', 'T1218.011', 'T1112', 'T1190', 'T1012', 'T1055.001', 'T1571', 'T1007', 'T1070.004', 'T1083', 'T1046', 'T1059.003', 'T1065', 'T1056.004', 'T1021.001', 'T1113', 'T1033', 'T1136.001', 'T1005', 'T1562.004', 'T1569.002', 'T1021.005', 'T1125', 'T1056.001', 'T1134.002', 'T1070.001', 'T1543.003', 'T1071.001'"
564,"'T1082', 'T1573.001', 'T1083', 'T1033', 'T1105'"
565,"'T1065', 'T1059.006', 'T1059.003', 'T1543.001', 'T1105', 'T1140', 'T1059.004', 'T1564.001', 'T1553.001', 'T1027'"
566,"'T1218.011', 'T1094', 'T1140', 'T1083', 'T1105'"
567,"'T1036.005', 'T1070.004', 'T1027.005', 'T1205.002', 'T1053.003', 'T1205', 'T1016', 'T1222.002', 'T1105', 'T1040', 'T1082', 'T1027', 'T1083', 'T1059.004', 'T1573.002', 'T1095', 'T1041'"
568,"'T1105', 'T1547.001', 'T1082', 'T1218.005', 'T1132.001', 'T1140', 'T1016', 'T1053.005', 'T1033', 'T1012', 'T1059.003', 'T1056.001', 'T1070.004', 'T1057', 'T1083'"
569,"'T1105', 'T1547.004', 'T1041', 'T1082', 'T1071.003', 'T1113', 'T1065', 'T1124', 'T1033', 'T1083', 'T1057'"
570,"'T1041', 'T1071.001', 'T1033', 'T1132.001', 'T1016', 'T1078.002', 'T1059.001'"
571,"'T1082', 'T1124', 'T1106', 'T1105', 'T1547.001', 'T1027.003', 'T1518.001', 'T1036.004'"
572,"'T1059.005', 'T1204.001', 'T1555.003', 'T1027.002', 'T1115', 'T1566.002', 'T1059', 'T1574.001', 'T1565.002', 'T1105', 'T1185', 'T1218.007'"
573,"'T1095', 'T1106', 'T1027', 'T1070.004', 'T1057', 'T1036.005', 'T1218.011', 'T1090.002', 'T1140', 'T1547.001', 'T1573.001', 'T1082', 'T1569.002', 'T1543.003', 'T1105', 'T1548.002', 'T1070.006', 'T1083', 'T1090.001', 'T1480.001', 'T1071.001'"
574,"'T1105', 'T1059.001', 'T1480.001', 'T1027'"
575,"'T1071.004', 'T1568.002', 'T1053.005', 'T1059.001', 'T1564.003', 'T1105', 'T1059.003'"
576,"'T1070.004', 'T1102.001', 'T1104', 'T1059.003', 'T1057', 'T1083', 'T1102.002'"
577,"'T1574.006', 'T1140', 'T1573.001', 'T1553.002', 'T1552.004', 'T1008', 'T1556', 'T1554', 'T1556.003', 'T1027', 'T1020', 'T1562.006', 'T1132.001', 'T1083', 'T1071.004', 'T1041', 'T1014', 'T1568.002', 'T1562.001', 'T1059.006'"
578,"'T1057', 'T1552.004', 'T1083', 'T1053.003', 'T1110', 'T1222.002', 'T1078', 'T1552.003', 'T1071.001', 'T1609', 'T1133', 'T1021.004', 'T1105', 'T1496', 'T1610', 'T1018', 'T1059.004'"
579,"'T1070.001', 'T1485', 'T1518.001', 'T1059.001', 'T1047', 'T1491.001', 'T1564.003', 'T1057', 'T1531', 'T1059.003', 'T1106', 'T1105', 'T1036.004', 'T1490', 'T1562.001', 'T1070.004', 'T1484.001', 'T1082', 'T1489', 'T1053.005'"
580,"'T1059.001', 'T1091', 'T1547.001', 'T1112', 'T1041', 'T1065', 'T1027', 'T1070.009', 'T1083', 'T1568.001', 'T1021.001', 'T1070.004', 'T1105', 'T1125', 'T1057', 'T1012', 'T1027.004', 'T1132.001', 'T1113', 'T1106', 'T1120', 'T1562.004', 'T1033', 'T1018', 'T1555.003', 'T1059.003', 'T1094', 'T1082', 'T1071.001', 'T1056.001', 'T1005', 'T1010', 'T1571'"
581,"'T1568', 'T1564.006', 'T1218.007', 'T1047', 'T1036.004', 'T1049', 'T1486', 'T1562.001', 'T1053.005', 'T1489', 'T1027', 'T1057', 'T1059.003', 'T1614.001', 'T1490', 'T1070', 'T1547.001', 'T1529', 'T1055.001', 'T1106', 'T1027.001', 'T1071.001', 'T1082'"
582,"'T1564.005', 'T1542.003'"
583,"'T1546.015', 'T1055.001', 'T1027.009', 'T1059.001', 'T1071.003', 'T1518', 'T1071.001', 'T1027', 'T1012', 'T1036.004', 'T1106', 'T1564.005', 'T1102.002', 'T1053.005', 'T1124', 'T1140', 'T1112', 'T1059.003', 'T1573.002', 'T1029'"
584,"'T1082', 'T1059.003', 'T1055.004', 'T1547.001', 'T1113', 'T1105'"
585,"'T1132.001', 'T1057', 'T1562.001', 'T1082', 'T1555.003', 'T1071.001', 'T1083', 'T1553.002', 'T1105', 'T1547.001', 'T1573.001', 'T1036.005'"
586,"'T1059.001', 'T1070.006', 'T1102.002', 'T1027', 'T1057'"
587,"'T1505.004', 'T1552.002', 'T1620', 'T1027', 'T1560.001', 'T1087.002', 'T1003.002', 'T1003.004', 'T1041', 'T1036.005', 'T1573.001', 'T1082', 'T1140', 'T1083', 'T1071.001', 'T1070.004', 'T1016', 'T1005', 'T1056.003'"
588,"'T1071.003', 'T1033', 'T1518.001', 'T1055', 'T1056.001', 'T1057', 'T1197', 'T1069.001', 'T1016', 'T1007', 'T1083', 'T1027', 'T1105', 'T1222.001', 'T1059.003', 'T1012', 'T1562.001', 'T1071.002', 'T1082', 'T1070.004'"
589,"'T1071.001', 'T1033', 'T1105', 'T1001', 'T1008', 'T1016', 'T1059.003', 'T1005', 'T1082', 'T1140', 'T1083', 'T1041', 'T1573.001', 'T1132.001', 'T1106'"
590,"'T1566.002', 'T1112', 'T1070.009', 'T1105', 'T1059.001', 'T1106', 'T1547.001', 'T1548.002', 'T1566.001', 'T1059.003', 'T1036.005', 'T1090', 'T1204.002', 'T1204.001', 'T1140', 'T1562.001', 'T1027', 'T1082', 'T1059.005', 'T1564.003'"
591,"'T1033', 'T1105', 'T1059.006', 'T1036.005', 'T1071.001', 'T1132.001', 'T1059.003', 'T1041'"
592,"'T1105', 'T1041', 'T1071.001', 'T1070.006', 'T1083'"
593,"'T1547.001', 'T1071.004', 'T1036.004', 'T1057', 'T1007', 'T1572', 'T1055.001', 'T1083', 'T1120', 'T1082', 'T1027', 'T1140', 'T1070.004', 'T1204.002', 'T1218.011'"
594,"'T1071.001', 'T1027', 'T1070.004', 'T1574.002', 'T1056.001', 'T1547.001', 'T1105', 'T1574.001', 'T1036.005', 'T1083', 'T1071.004', 'T1059.003'"
595,"'T1132.001', 'T1082', 'T1087.001', 'T1055', 'T1105', 'T1016', 'T1094', 'T1106', 'T1033', 'T1136.001', 'T1095', 'T1041', 'T1036.005', 'T1074.001', 'T1008', 'T1005', 'T1059.003', 'T1071.001', 'T1547'"
596,"'T1573.001', 'T1539', 'T1082', 'T1056.002', 'T1041', 'T1068', 'T1195.001', 'T1497.003', 'T1569.001', 'T1554', 'T1005', 'T1560', 'T1113', 'T1553.001', 'T1574.006', 'T1083', 'T1036', 'T1564.001', 'T1098.004', 'T1087', 'T1614.001', 'T1222.002', 'T1059.004', 'T1543.004', 'T1518.001', 'T1486', 'T1105', 'T1647', 'T1518'"
597,"'T1547.004', 'T1059.003', 'T1573.001', 'T1029', 'T1105', 'T1071.001', 'T1132.001', 'T1094'"
598,"'T1105', 'T1547.001', 'T1071.001', 'T1033', 'T1005', 'T1204.002', 'T1113', 'T1074.001', 'T1036.005', 'T1016', 'T1560.001', 'T1047', 'T1132.001', 'T1082', 'T1567.002', 'T1083', 'T1041', 'T1566.001'"
599,"'T1489', 'T1106', 'T1561.002', 'T1486', 'T1070.004', 'T1529', 'T1027', 'T1083', 'T1485', 'T1057', 'T1082', 'T1129', 'T1134', 'T1070.001', 'T1036.004'"
600,"'T1071.001', 'T1204.001', 'T1546.016', 'T1566.002', 'T1140', 'T1041', 'T1082', 'T1204.002', 'T1543.003', 'T1543.004', 'T1218.007', 'T1569.001', 'T1553.002', 'T1053.005', 'T1548.002', 'T1027', 'T1564.001', 'T1070.004', 'T1059.004', 'T1497.003'"
601,"'T1105', 'T1087.001', 'T1069.002', 'T1053.005', 'T1087.002', 'T1082', 'T1190', 'T1057', 'T1027', 'T1016', 'T1071.001', 'T1083', 'T1140'"
602,"'T1074.001', 'T1059.003', 'T1082', 'T1132.001', 'T1005', 'T1204.002', 'T1027', 'T1547.001', 'T1016', 'T1543.003', 'T1033', 'T1059.005', 'T1041', 'T1071.001'"
603,"'T1082', 'T1574.001', 'T1140', 'T1059.003', 'T1033'"
