,Rule,Confidence,Support,Lift
2171,"(""'T1053'"", ""'T1105'"", ""'T1566'"") -> (""'T1204'"",)",0.975,0.05227882037533512,4.9818493150684935
2804,"(""'T1033'"", ""'T1057'"", ""'T1140'"") -> (""'T1082'"",)",0.975,0.05227882037533512,2.238
4802,"(""'T1005'"", ""'T1057'"", ""'T1547'"") -> (""'T1059'"",)",0.975,0.05227882037533512,1.7317857142857145
3954,"(""'T1070'"", ""'T1082'"", ""'T1204'"") -> (""'T1059'"",)",0.9743589743589745,0.05093833780160858,1.7306471306471305
3184,"(""'T1071'"", ""'T1140'"", ""'T1566'"") -> (""'T1204'"",)",0.9743589743589745,0.05093833780160858,4.978573937478047
2410,"(""'T1033'"", ""'T1041'"", ""'T1083'"") -> (""'T1105'"",)",0.9743589743589745,0.05093833780160858,1.8637738330046023
3885,"(""'T1071'"", ""'T1140'"", ""'T1566'"") -> (""'T1059'"",)",0.9743589743589745,0.05093833780160858,1.7306471306471305
1791,"(""'T1053'"", ""'T1070'"", ""'T1547'"") -> (""'T1059'"",)",0.9743589743589745,0.05093833780160858,1.7306471306471305
4431,"(""'T1016'"", ""'T1105'"", ""'T1566'"") -> (""'T1204'"",)",0.9743589743589745,0.05093833780160858,4.978573937478047
2359,"(""'T1033'"", ""'T1041'"", ""'T1083'"") -> (""'T1082'"",)",0.9743589743589745,0.05093833780160858,2.236528599605523
5951,"(""'T1053'"", ""'T1070'"", ""'T1140'"") -> (""'T1027'"",)",0.9743589743589745,0.05093833780160858,2.0079331350049583
2948,"(""'T1059'"", ""'T1105'"", ""'T1566'"") -> (""'T1204'"",)",0.9743589743589745,0.10187667560321716,4.978573937478047
5332,"(""'T1027'"", ""'T1102'"", ""'T1547'"") -> (""'T1059'"",)",0.9743589743589745,0.05093833780160858,1.7306471306471305
3583,"(""'T1057'"", ""'T1082'"", ""'T1566'"") -> (""'T1204'"",)",0.9743589743589745,0.05093833780160858,4.978573937478047
2857,"(""'T1033'"", ""'T1059'"", ""'T1518'"") -> (""'T1082'"",)",0.9743589743589745,0.05093833780160858,2.236528599605523
1493,"(""'T1033'"", ""'T1497'"") -> (""'T1082'"",)",0.9743589743589745,0.05093833780160858,2.236528599605523
5701,"(""'T1071'"", ""'T1140'"", ""'T1566'"") -> (""'T1027'"",)",0.9743589743589745,0.05093833780160858,2.0079331350049583
2651,"(""'T1033'"", ""'T1083'"", ""'T1140'"") -> (""'T1082'"",)",0.9743589743589745,0.05093833780160858,2.236528599605523
692,"(""'T1082'"", ""'T1566'"") -> (""'T1204'"",)",0.96875,0.08310991957104558,4.949914383561644
4329,"(""'T1016'"", ""'T1033'"", ""'T1083'"") -> (""'T1082'"",)",0.9682539682539684,0.08176943699731902,2.2225152625152624
4485,"(""'T1027'"", ""'T1033'"", ""'T1083'"") -> (""'T1082'"",)",0.9682539682539684,0.08176943699731902,2.2225152625152624
4363,"(""'T1016'"", ""'T1033'"", ""'T1057'"") -> (""'T1082'"",)",0.967741935483871,0.08042895442359249,2.2213399503722084
